A_size, Insertar, Union, EliminarMinimo, DecrementarElemento
100, 873, 508, 2787, 396
200, 92, 49, 1810, 46
300, 111, 57, 659, 46
400, 127, 55, 1216, 64
500, 73, 29, 570, 45
600, 99, 53, 738, 64
700, 99, 64, 781, 65
800, 111, 52, 1051, 75
900, 218, 113, 1275, 163
1000, 157, 110, 1380, 162
1100, 56, 41, 864, 55
1200, 61, 27, 733, 44
1300, 177, 48, 1608, 132
1400, 95, 62, 1154, 49
1500, 159, 89, 1238, 65
1600, 72, 29, 1819, 12
1700, 50, 27, 1833, 13
1800, 61, 28, 1927, 12
1900, 58, 26, 772, 15
2000, 37, 14, 444, 6
2100, 63, 27, 712, 13
2200, 55, 26, 745, 12
2300, 55, 26, 960, 13
2400, 55, 26, 771, 11
2500, 59, 24, 871, 11
2600, 45, 21, 840, 10
2700, 46, 21, 847, 10
2800, 53, 24, 891, 12
2900, 36, 12, 575, 6
3000, 48, 22, 942, 11
3100, 46, 28, 949, 8
3200, 49, 24, 1174, 12
3300, 45, 20, 941, 10
3400, 70, 41, 1621, 12
3500, 66, 37, 1112, 8
3600, 64, 39, 1868, 10
3700, 51, 24, 1358, 13
3800, 41, 13, 818, 7
3900, 35, 11, 719, 6
4000, 54, 32, 1419, 10
4100, 36, 15, 778, 6
4200, 35, 11, 743, 6
4300, 36, 11, 784, 7
4400, 36, 11, 779, 6
4500, 36, 11, 760, 6
4600, 48, 19, 845, 6
4700, 40, 15, 909, 6
4800, 58, 15, 854, 9
4900, 44, 11, 875, 5
5000, 34, 3, 835, 0
5100, 29, 3, 779, 0
5200, 29, 3, 912, 0
5300, 29, 3, 872, 0
5400, 29, 3, 933, 0
5500, 42, 3, 939, 0
5600, 28, 3, 936, 0
5700, 28, 3, 942, 0
5800, 29, 3, 969, 0
5900, 28, 3, 940, 0
6000, 28, 3, 915, 0
6100, 28, 4, 1016, 0
6200, 42, 3, 987, 0
6300, 29, 3, 1231, 0
6400, 29, 3, 1036, 0
6500, 29, 3, 1043, 0
6600, 28, 3, 1054, 0
6700, 28, 3, 1071, 0
6800, 29, 3, 1106, 0
6900, 41, 3, 1102, 0
7000, 28, 3, 1101, 0
7100, 29, 3, 1097, 0
7200, 28, 3, 1107, 0
7300, 28, 3, 1145, 0
7400, 28, 3, 1174, 0
7500, 28, 3, 1166, 0
7600, 40, 3, 1265, 0
7700, 28, 3, 1185, 0
7800, 28, 3, 1194, 0
