A_size, Insertar, Union, EliminarMinimo, DecrementarElemento
100, 460, 220, 1484, 152
500, 176, 902, 2927, 90
900, 192, 100, 13168, 195
1300, 193, 132, 1414, 194
1700, 60, 28, 1070, 47
2100, 166, 74, 1769, 117
2500, 55, 40, 1035, 46
2900, 96, 25, 1168, 45
3300, 54, 24, 1411, 102
3700, 70, 42, 2997, 17
4100, 59, 33, 3124, 6
4500, 53, 24, 3491, 12
4900, 39, 12, 2506, 6
5300, 52, 26, 1641, 13
5700, 42, 11, 907, 6
6100, 39, 11, 1005, 6
6500, 39, 11, 1026, 6
6900, 39, 11, 1061, 6
7300, 38, 11, 1124, 6
7700, 39, 12, 1150, 6
8100, 50, 20, 1269, 6
8500, 38, 11, 1330, 6
8900, 38, 13, 1525, 6
9300, 39, 11, 1419, 6
9700, 39, 11, 1443, 6
10100, 50, 18, 1456, 6
10500, 51, 25, 2442, 10
10900, 37, 11, 1526, 6
11300, 37, 11, 1636, 6
11700, 74, 25, 1617, 49
12100, 45, 3, 1722, 0
12500, 29, 3, 1804, 0
12900, 29, 3, 1825, 0
13300, 29, 3, 1905, 0
13700, 40, 3, 1883, 0
14100, 29, 3, 2065, 0
14500, 28, 3, 1990, 0
14900, 39, 3, 2055, 0
15300, 28, 3, 1996, 0
15700, 28, 3, 2181, 0
16100, 38, 3, 2126, 0
16500, 28, 3, 4310, 0
16900, 28, 3, 2226, 0
17300, 53, 3, 4532, 0
17700, 28, 3, 2375, 0
18100, 43, 3, 2353, 0
18500, 28, 3, 2454, 0
18900, 28, 3, 2591, 0
19300, 28, 3, 2601, 0
19700, 30, 3, 2666, 0
20100, 28, 3, 2598, 0
20500, 28, 3, 2722, 0
20900, 28, 3, 2701, 0
21300, 28, 3, 2822, 0
21700, 28, 3, 2864, 0
22100, 28, 3, 2937, 0
22500, 28, 3, 2908, 0
22900, 28, 3, 2979, 0
23300, 28, 3, 3021, 0
23700, 28, 3, 3078, 0
24100, 28, 3, 3197, 0
24500, 29, 3, 3235, 0
24900, 28, 3, 3294, 0
25300, 28, 3, 3357, 0
25700, 28, 3, 3318, 0
26100, 28, 3, 3545, 0
26500, 40, 3, 3513, 0
26900, 40, 3, 3359, 0
27300, 28, 3, 3572, 0
27700, 28, 3, 3524, 0
28100, 28, 3, 3780, 0
28500, 39, 3, 3736, 0
28900, 32, 3, 3948, 0
29300, 39, 3, 3816, 0
29700, 28, 3, 3910, 0
30100, 28, 3, 3963, 0
30500, 28, 3, 3881, 0
30900, 39, 3, 4091, 0
31300, 39, 3, 4175, 0
31700, 28, 3, 4165, 0
32100, 40, 3, 4378, 0
32500, 39, 3, 4278, 0
32900, 28, 3, 4153, 0
33300, 39, 3, 4373, 0
33700, 28, 3, 4498, 0
34100, 28, 3, 4408, 0
34500, 39, 3, 4560, 0
34900, 39, 3, 4580, 0
35300, 28, 3, 4539, 0
35700, 28, 3, 4675, 0
36100, 28, 3, 4647, 0
36500, 49, 3, 4509, 0
36900, 28, 3, 4966, 0
37300, 28, 3, 4905, 0
37700, 39, 3, 5108, 0
38100, 28, 3, 4913, 0
38500, 38, 3, 5099, 0
38900, 28, 3, 5092, 0
39300, 38, 3, 5196, 0
39700, 28, 3, 5150, 0
40100, 39, 3, 4912, 0
40500, 28, 3, 5197, 0
40900, 40, 3, 5402, 0
41300, 38, 3, 5250, 0
41700, 28, 3, 5456, 0
42100, 28, 3, 5358, 0
42500, 39, 3, 5425, 0
42900, 40, 3, 5668, 0
43300, 28, 3, 5572, 0
43700, 28, 3, 5703, 0
44100, 39, 3, 5941, 0
44500, 39, 3, 5826, 0
44900, 28, 3, 5823, 0
45300, 41, 3, 5917, 0
45700, 38, 3, 5850, 0
46100, 28, 3, 5950, 0
46500, 28, 3, 5921, 0
46900, 39, 3, 5686, 0
47300, 47, 3, 6217, 0
47700, 28, 3, 5795, 0
48100, 40, 3, 5781, 0
48500, 41, 3, 5891, 0
48900, 28, 3, 5985, 0
49300, 40, 3, 6083, 0
49700, 31, 3, 6101, 0
50100, 39, 3, 6508, 0
50500, 28, 3, 6648, 0
50900, 28, 3, 6604, 0
51300, 28, 3, 6707, 0
51700, 28, 3, 6808, 0
52100, 28, 3, 6879, 0
52500, 28, 3, 6972, 0
52900, 30, 3, 6828, 0
53300, 38, 3, 6937, 0
53700, 28, 6, 7133, 0
54100, 28, 3, 6975, 0
54500, 39, 3, 7176, 0
54900, 28, 3, 6874, 0
55300, 43, 3, 6979, 0
55700, 28, 3, 6823, 0
56100, 40, 3, 6915, 0
56500, 28, 3, 7048, 0
56900, 28, 3, 7065, 0
57300, 28, 3, 7348, 0
57700, 28, 3, 7102, 0
58100, 28, 3, 7708, 0
58500, 40, 3, 7775, 0
58900, 28, 3, 7274, 0
59300, 28, 3, 7477, 0
59700, 41, 3, 7569, 0
60100, 38, 3, 7284, 0
60500, 28, 3, 7959, 0
60900, 28, 3, 7477, 0
61300, 28, 3, 7998, 0
61700, 41, 3, 8002, 0
62100, 28, 3, 8113, 0
62500, 39, 3, 7573, 0
62900, 28, 3, 7635, 0
63300, 40, 3, 8153, 0
63700, 28, 3, 7659, 0
64100, 28, 3, 8339, 0
64500, 58, 3, 8329, 0
64900, 28, 3, 7905, 0
65300, 28, 3, 8074, 0
65700, 28, 3, 8611, 0
66100, 40, 3, 8098, 0
66500, 28, 3, 8703, 0
66900, 40, 3, 9092, 0
67300, 40, 3, 8208, 0
67700, 28, 3, 8971, 0
68100, 38, 3, 8810, 0
68500, 39, 3, 8650, 0
68900, 28, 3, 8782, 0
69300, 28, 3, 8484, 0
69700, 40, 3, 9002, 0
70100, 28, 3, 9506, 0
70500, 39, 3, 8981, 0
70900, 28, 3, 8630, 0
71300, 42, 3, 9256, 0
71700, 28, 3, 8718, 0
72100, 29, 3, 9411, 0
72500, 41, 3, 8858, 0
72900, 39, 3, 8906, 0
73300, 28, 3, 8950, 0
73700, 28, 3, 9562, 0
74100, 59, 3, 9903, 0
74500, 29, 3, 9558, 0
74900, 28, 3, 9575, 0
75300, 39, 3, 9180, 0
75700, 38, 3, 10323, 0
76100, 28, 3, 10230, 0
76500, 40, 3, 9822, 0
76900, 29, 3, 9327, 0
77300, 43, 3, 10514, 0
77700, 38, 3, 9601, 0
78100, 28, 3, 9858, 0
78500, 28, 3, 9458, 0
78900, 28, 3, 9690, 0
79300, 28, 3, 11492, 0
79700, 40, 3, 10909, 0
80100, 28, 3, 9797, 0
80500, 44, 3, 10133, 0
80900, 28, 3, 9847, 0
81300, 39, 3, 9928, 0
81700, 28, 4, 9833, 0
82100, 40, 3, 10389, 0
82500, 28, 3, 9963, 0
82900, 40, 3, 10625, 0
83300, 28, 3, 10673, 0
83700, 28, 3, 10877, 0
84100, 40, 3, 11389, 0
84500, 28, 3, 10313, 0
84900, 28, 3, 11067, 0
85300, 38, 3, 11053, 0
85700, 29, 3, 10503, 0
86100, 39, 3, 11106, 0
86500, 28, 3, 11062, 0
86900, 28, 3, 10622, 0
87300, 28, 5, 11348, 0
87700, 41, 4, 10815, 0
88100, 28, 5, 11030, 0
88500, 28, 4, 10943, 0
